Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,16213.400391,16310.000000,16181.000000,16310.000000,16310.000000,157073400
2018-01-03,16336.700195,16386.300781,16322.599609,16371.599609,16371.599609,196865400
2018-01-04,16385.400391,16421.400391,16344.900391,16412.900391,16412.900391,195975200
2018-01-05,16362.599609,16370.299805,16309.900391,16349.400391,16349.400391,160313100
2018-01-08,16355.400391,16373.500000,16297.900391,16317.700195,16317.700195,166095400
2018-01-09,16351.400391,16358.200195,16309.799805,16319.200195,16319.200195,236911700
2018-01-10,16314.200195,16341.099609,16229.299805,16248.000000,16248.000000,243953300
2018-01-11,16276.200195,16301.400391,16244.900391,16286.900391,16286.900391,231161200
2018-01-12,16296.099609,16323.500000,16278.099609,16308.200195,16308.200195,242891100
2018-01-15,16321.799805,16384.500000,16313.500000,16371.799805,16371.799805,123891500
2018-01-16,16368.599609,16373.299805,16270.900391,16298.900391,16298.900391,246627400
2018-01-17,16320.799805,16358.200195,16277.599609,16326.700195,16326.700195,221463200
2018-01-18,16339.799805,16344.099609,16270.599609,16284.500000,16284.500000,212308100
2018-01-19,16311.299805,16364.299805,16288.400391,16353.500000,16353.500000,201143600
2018-01-22,16348.900391,16360.500000,16303.400391,16348.000000,16348.000000,205285200
2018-01-23,16342.000000,16383.799805,16252.400391,16357.599609,16357.599609,234085600
2018-01-24,16360.799805,16365.000000,16238.400391,16284.200195,16284.200195,245792400
2018-01-25,16309.400391,16315.099609,16194.299805,16204.000000,16204.000000,234944000
2018-01-26,16227.200195,16239.700195,16180.700195,16239.200195,16239.200195,202112800
2018-01-29,16195.700195,16195.700195,16090.700195,16094.700195,16094.700195,200161400
2018-01-30,16030.200195,16054.500000,15947.099609,15955.500000,15955.500000,227045000
2018-01-31,15956.099609,15979.900391,15898.700195,15951.700195,15951.700195,249790300
2018-02-01,15920.000000,15922.599609,15818.000000,15860.900391,15860.900391,224854400
2018-02-02,15780.500000,15783.000000,15600.900391,15606.000000,15606.000000,233251100
2018-02-05,15490.099609,15584.099609,15284.400391,15334.799805,15334.799805,264583100
2018-02-06,15112.299805,15401.799805,14945.799805,15363.900391,15363.900391,289213400
2018-02-07,15365.400391,15421.200195,15325.700195,15330.599609,15330.599609,243344100
2018-02-08,15335.099609,15359.500000,15065.599609,15065.599609,15065.599609,256435100
2018-02-09,15087.599609,15110.900391,14785.799805,15034.500000,15034.500000,290429600
2018-02-12,15148.099609,15292.500000,15114.000000,15241.900391,15241.900391,254215800
2018-02-13,15206.200195,15250.000000,15147.000000,15216.500000,15216.500000,219326700
2018-02-14,15143.799805,15391.099609,15120.799805,15328.299805,15328.299805,286177400
2018-02-15,15438.400391,15445.799805,15276.599609,15407.700195,15407.700195,248749100
2018-02-16,15424.599609,15500.799805,15404.200195,15452.599609,15452.599609,215288300
2018-02-20,15427.200195,15499.000000,15414.599609,15439.400391,15439.400391,191939900
2018-02-21,15472.900391,15625.599609,15472.900391,15524.000000,15524.000000,221868900
2018-02-22,15588.900391,15638.000000,15493.599609,15508.200195,15508.200195,208979300
2018-02-23,15560.200195,15641.099609,15533.299805,15638.500000,15638.500000,163631100
2018-02-26,15701.099609,15735.200195,15652.200195,15714.700195,15714.700195,172844500
2018-02-27,15703.700195,15766.500000,15655.500000,15671.200195,15671.200195,195624400
2018-02-28,15723.599609,15726.099609,15442.000000,15442.700195,15442.700195,268253000
2018-03-01,15452.700195,15455.900391,15313.900391,15394.000000,15394.000000,234929600
